万州/五桥,"30°46.5′,108°37.0′","30°43.0′,108°35.4′","30°45.5′,108°30.0′","30°44.4′,108°25.0′","30°44.7′,108°23.8′","30°48.6′,108°20.8′","30°49.7′,108°15.1′","30°53.4′,108°16.6′","30°50.7′,108°21.8′","30°52.0′,108°26.8′","30°51.5′,108°28.2′","30°47.6′,108°31.2′"
克拉玛依,"45°22.3′,085°08.1′","45°19.5′,085°04.1′","45°24.0′,085°00.1′","45°25.0′,084°53.9′","45°26.1′,084°52.5′","45°30.4′,084°51.7′","45°33.7′,084°46.2′","45°36.3′,084°50.4′","45°32.0′,084°54.4′","45°31.0′,085°00.6′","45°30.1′,085°02.0′","45°25.6′,085°02.5′"
兰州/中川,"36°21.2′,103°40.3′","36°21.0′,103°35.6′","36°26.1′,103°36.0′","36°29.6′,103°32.5′","36°31.6′,103°32.4′","36°35.5′,103°35.5′","36°40.4′,103°34.2′","36°40.6′,103°39.1′","36°35.5′,103°38.5′","36°32.0′,103°42.0′","36°30.0′,103°42.0′","36°26.1′,103°39.0′"
兴义/万峰林,"24°57.0′,105°03.5′","24°55.5′,104°59.5′","25°00.5′,104°58.1′","25°03.0′,104°54.1′","25°04.2′,104°53.3′","25°08.6′,104°54.4′","25°13.0′,104°51.6′","25°14.5′,104°55.6′","25°09.5′,104°57.0′","25°07.2′,105°01.2′","25°05.8′,105°01.7′","25°01.4′,105°00.7′"
加格达奇/嘎仙,"50°13.4′,124°12.3′","50°12.7′,124°06.1′","50°18.0′,124°06.1′","50°21.0′,124°01.2′","50°22.4′,124°01.1′","50°26.2′,124°04.3′","50°31.3′,124°01.8′","50°31.7′,124°08.1′","50°26.7′,124°08.0′","50°23.4′,124°12.9′","50°22.3′,124°13.2′","50°18.2′,124°09.8′"
包头,"40°29.1′,110°11.1′","40°26.0′,110°08.0′","40°29.8′,110°03.3′","40°30.0′,109°57.6′","40°31.0′,109°56.1′","40°35.3′,109°54.3′","40°38.0′,109°48.6′","40°41.1′,109°51.7′","40°37.3′,109°56.3′","40°37.1′,110°02.1′","40°36.0′,110°03.7′","40°31.7′,110°05.4′"
北京/首都,"40°13.7′,116°31.7′","40°14.2′,116°36.8′","40°09.2′,116°36.6′","40°05.9′,116°40.7′","40°03.7′,116°41.1′","39°59.8′,116°38.2′","39°55.0′,116°40.0′","39°54.5′,116°34.9′","39°59.5′,116°35.1′","40°02.8′,116°31.0′","40°04.8′,116°30.7′","40°08.9′,116°33.5′"
北海/福成,"21°42.1′,109°17.5′","21°41.5′,109°21.8′","21°36.5′,109°19.9′","21°32.4′,109°21.9′","21°30.7′,109°21.4′","21°27.8′,109°18.1′","21°22.5′,109°17.8′","21°23.4′,109°13.5′","21°28.1′,109°15.5′","21°32.2′,109°13.5′","21°34.1′,109°13.7′","21°37.1′,109°17.2′"
十堰/武当山,"32°31.0′,111°04.2′","32°28.0′,111°01.3′","32°31.9′,110°57.4′","32°32.2′,110°52.1′","32°33.1′,110°50.8′","32°37.6′,110°49.5′","32°40.2′,110°44.5′","32°43.2′,110°47.4′","32°39.3′,110°51.5′","32°39.1′,110°56.6′","32°38.1′,110°58.1′","32°33.6′,110°59.1′"
南京/禄口,"31°50.0′,119°00.4′","31°46.8′,119°02.6′","31°44.7′,118°57.1′","31°40.5′,118°55.1′","31°39.5′,118°53.2′","31°39.8′,118°48.1′","31°36.5′,118°43.5′","31°39.7′,118°41.0′","31°41.8′,118°46.5′","31°46.0′,118°48.6′","31°47.0′,118°50.4′","31°46.7′,118°55.8′"
南宁/吴圩,"22°44.6′,108°16.7′","22°41.7′,108°19.6′","22°38.6′,108°15.1′","22°34.4′,108°14.1′","22°33.2′,108°12.6′","22°32.5′,108°07.8′","22°28.6′,108°04.4′","22°31.3′,108°01.6′","22°34.4′,108°06.2′","22°38.8′,108°07.1′","22°40.0′,108°08.3′","22°40.4′,108°13.1′"
南昌/昌北,"29°01.6′,115°56.5′","28°60.1′,116°00.6′","28°55.6′,115°57.4′","28°51.3′,115°58.5′","28°49.6′,115°57.7′","28°47.3′,115°53.3′","28°42.3′,115°52.0′","28°43.7′,115°47.9′","28°48.1′,115°50.8′","28°52.5′,115°49.7′","28°54.3′,115°50.5′","28°56.5′,115°55.0′"
南通/兴东,"32°14.1′,120°56.1′","32°14.1′,121°00.9′","32°09.1′,121°00.0′","32°05.4′,121°03.2′","32°03.7′,121°03.4′","31°60.0′,121°00.3′","31°54.8′,121°01.5′","31°54.7′,120°56.9′","31°59.8′,120°57.5′","32°03.5′,120°54.3′","32°05.2′,120°54.2′","32°09.1′,120°57.3′"
南阳/姜营,"33°07.4′,112°42.8′","33°04.6′,112°46.4′","33°01.4′,112°41.5′","32°57.1′,112°41.0′","32°55.9′,112°39.7′","32°54.8′,112°34.5′","32°50.5′,112°31.2′","32°53.3′,112°27.7′","32°56.4′,112°32.6′","33°01.0′,112°33.0′","33°02.2′,112°34.4′","33°03.0′,112°39.5′"
博乐/阿拉山口,"44°53.7′,082°31.5′","44°50.0′,082°30.4′","44°51.6′,082°23.6′","44°49.9′,082°18.1′","44°50.0′,082°16.1′","44°53.3′,082°11.8′","44°53.7′,082°04.6′","44°57.4′,082°05.5′","44°55.8′,082°12.3′","44°57.5′,082°18.2′","44°57.4′,082°20.0′","44°54.1′,082°24.4′"
厦门/高崎,"24°40.1′,118°14.6′","24°37.1′,118°17.4′","24°34.6′,118°12.3′","24°30.3′,118°11.1′","24°29.0′,118°09.4′","24°29.0′,118°04.5′","24°25.1′,118°00.6′","24°28.2′,117°58.1′","24°30.7′,118°03.0′","24°35.0′,118°04.2′","24°36.3′,118°05.8′","24°36.5′,118°10.7′"
台州/路桥,"28°43.0′,121°28.2′","28°41.5′,121°32.4′","28°37.2′,121°29.0′","28°32.8′,121°30.1′","28°31.6′,121°29.4′","28°29.4′,121°24.8′","28°24.5′,121°23.3′","28°26.0′,121°19.1′","28°30.3′,121°22.5′","28°34.7′,121°21.4′","28°36.1′,121°22.2′","28°38.1′,121°26.5′"
合肥/新桥,"31°52.0′,117°06.2′","31°50.1′,117°02.2′","31°54.7′,117°00.1′","31°56.5′,116°55.2′","31°58.1′,116°54.1′","32°02.6′,116°54.6′","32°06.6′,116°51.0′","32°08.6′,116°55.0′","32°03.8′,116°57.1′","32°02.1′,117°02.0′","32°00.5′,117°03.1′","31°56.1′,117°02.4′"
吐鲁番/交河,"43°03.9′,089°18.8′","42°59.8′,089°18.8′","43°00.6′,089°11.8′","42°58.1′,089°07.1′","42°58.1′,089°04.8′","43°00.6′,088°60.0′","42°59.8′,088°53.1′","43°03.9′,088°53.1′","43°03.0′,088°60.0′","43°05.6′,089°04.8′","43°05.6′,089°07.1′","43°03.0′,089°11.8′"
呼伦贝尔/海拉尔,"49°15.2′,120°03.6′","49°11.3′,120°04.4′","49°11.7′,119°56.4′","49°08.7′,119°51.5′","49°08.4′,119°49.0′","49°10.6′,119°43.1′","49°09.3′,119°35.7′","49°13.2′,119°35.1′","49°13.0′,119°42.9′","49°16.0′,119°47.8′","49°16.3′,119°50.1′","49°14.1′,119°56.0′"
呼和浩特/白塔,"40°55.6′,112°00.8′","40°52.0′,112°02.5′","40°51.1′,111°55.6′","40°47.5′,111°52.1′","40°47.1′,111°49.6′","40°48.4′,111°44.2′","40°46.1′,111°38.1′","40°50.1′,111°36.4′","40°50.7′,111°43.1′","40°54.4′,111°46.8′","40°55.0′,111°49.1′","40°53.4′,111°54.7′"
和田,"37°00.8′,080°04.0′","36°57.1′,080°02.2′","36°59.7′,079°56.5′","36°58.5′,079°51.1′","36°59.1′,079°49.1′","37°02.6′,079°46.1′","37°03.8′,079°39.8′","37°07.5′,079°41.5′","37°05.1′,079°47.0′","37°06.1′,079°52.4′","37°05.5′,079°54.4′","37°01.8′,079°57.7′"
哈尔滨/太平,"45°46.0′,126°21.6′","45°43.5′,126°25.8′","45°40.0′,126°20.5′","45°35.6′,126°20.1′","45°34.4′,126°18.5′","45°33.1′,126°12.2′","45°28.7′,126°08.6′","45°31.2′,126°04.1′","45°34.6′,126°09.7′","45°39.1′,126°10.1′","45°40.6′,126°11.7′","45°41.7′,126°17.7′"
唐山/三女河,"39°44.5′,118°12.5′","39°40.4′,118°12.3′","39°41.5′,118°05.6′","39°39.1′,118°00.9′","39°39.4′,117°59.0′","39°42.2′,117°54.4′","39°41.6′,117°47.9′","39°45.7′,117°48.2′","39°44.5′,117°54.7′","39°47.0′,117°59.5′","39°46.9′,118°01.5′","39°44.1′,118°05.8′"
喀什,"39°35.0′,076°13.5′","39°31.2′,076°13.8′","39°31.5′,076°07.0′","39°28.7′,076°02.5′","39°28.6′,076°00.3′","39°31.0′,075°55.6′","39°30.1′,075°49.1′","39°34.1′,075°48.6′","39°33.4′,075°55.4′","39°36.4′,075°59.9′","39°36.5′,076°02.1′","39°34.1′,076°06.8′"
嘉峪关,"39°46.0′,098°30.8′","39°43.3′,098°27.1′","39°47.5′,098°23.1′","39°48.4′,098°17.4′","39°49.6′,098°16.1′","39°54.0′,098°15.1′","39°57.0′,098°09.8′","39°59.9′,098°13.6′","39°55.5′,098°17.5′","39°54.9′,098°23.2′","39°53.6′,098°24.5′","39°49.3′,098°25.5′"
固原/六盘山,"36°14.0′,106°09.7′","36°14.4′,106°14.5′","36°09.3′,106°14.1′","36°05.7′,106°17.7′","36°04.2′,106°17.7′","36°00.5′,106°14.7′","35°55.4′,106°16.2′","35°55.1′,106°11.5′","36°00.2′,106°12.1′","36°03.8′,106°08.3′","36°05.3′,106°08.3′","36°09.0′,106°11.3′"
塔城,"46°36.6′,083°33.6′","46°33.5′,083°30.4′","46°36.8′,083°25.0′","46°36.8′,083°18.5′","46°37.5′,083°16.8′","46°41.7′,083°14.7′","46°43.9′,083°07.9′","46°47.0′,083°11.1′","46°43.7′,083°16.5′","46°43.7′,083°23.0′","46°43.0′,083°24.7′","46°38.8′,083°27.0′"
大同/云冈,"39°58.8′,113°39.8′","39°56.0′,113°36.4′","39°59.8′,113°32.1′","40°00.4′,113°26.2′","40°01.5′,113°24.6′","40°05.7′,113°23.5′","40°08.5′,113°17.7′","40°11.6′,113°21.3′","40°07.5′,113°25.6′","40°07.2′,113°31.2′","40°06.1′,113°32.8′","40°01.6′,113°34.2′"
大庆/萨尔图,"46°37.0′,125°16.1′","46°35.7′,125°10.8′","46°40.5′,125°09.1′","46°43.1′,125°03.4′","46°44.2′,125°02.6′","46°48.5′,125°04.1′","46°53.1′,125°00.3′","46°54.6′,125°05.6′","46°49.6′,125°07.4′","46°47.1′,125°13.1′","46°45.8′,125°13.8′","46°41.6′,125°12.3′"
大连/周水子,"38°59.1′,121°44.9′","38°55.1′,121°44.4′","38°56.4′,121°38.0′","38°54.0′,121°33.1′","38°54.3′,121°30.6′","38°57.1′,121°26.5′","38°57.0′,121°19.9′","39°00.9′,121°20.2′","38°59.5′,121°26.8′","39°01.9′,121°31.7′","39°01.6′,121°34.1′","38°58.6′,121°38.3′"
天津/滨海,"38°60.0′,117°29.7′","38°58.1′,117°25.3′","39°03.2′,117°23.4′","39°05.2′,117°18.2′","39°07.1′,117°17.3′","39°11.5′,117°18.3′","39°15.6′,117°14.6′","39°17.3′,117°19.0′","39°12.4′,117°21.1′","39°10.4′,117°26.0′","39°08.5′,117°27.2′","39°04.1′,117°26.0′"
太原/武宿,"37°40.4′,112°49.1′","37°37.4′,112°46.1′","37°41.1′,112°41.6′","37°41.0′,112°36.0′","37°42.2′,112°33.8′","37°46.6′,112°32.2′","37°49.1′,112°26.6′","37°52.2′,112°29.6′","37°48.4′,112°34.0′","37°48.3′,112°39.6′","37°47.1′,112°41.6′","37°43.0′,112°43.4′"
宁波/栎社,"29°46.1′,121°38.1′","29°42.6′,121°35.6′","29°46.2′,121°31.2′","29°46.0′,121°26.1′","29°46.8′,121°24.4′","29°51.0′,121°22.6′","29°53.3′,121°17.2′","29°56.6′,121°19.7′","29°53.0′,121°24.1′","29°53.2′,121°29.2′","29°52.4′,121°31.1′","29°48.1′,121°32.7′"
宁蒗/泸沽湖,"27°40.1′,100°52.4′","27°37.1′,100°55.3′","27°34.4′,100°50.4′","27°30.0′,100°49.2′","27°29.0′,100°47.5′","27°28.6′,100°42.5′","27°24.7′,100°38.7′","27°27.7′,100°36.0′","27°30.3′,100°40.9′","27°34.8′,100°42.1′","27°36.0′,100°43.6′","27°36.4′,100°48.5′"
安庆,"30°41.4′,117°11.5′","30°38.0′,117°13.6′","30°36.0′,117°08.0′","30°32.1′,117°06.0′","30°31.2′,117°04.3′","30°31.7′,116°59.2′","30°28.7′,116°54.5′","30°32.0′,116°52.4′","30°34.0′,116°58.0′","30°38.1′,117°00.0′","30°38.6′,117°01.5′","30°38.1′,117°06.6′"
宜宾/菜坝,"28°51.7′,104°42.6′","28°47.8′,104°43.6′","28°47.6′,104°37.6′","28°44.3′,104°34.3′","28°44.1′,104°32.8′","28°46.0′,104°28.2′","28°44.4′,104°22.7′","28°48.1′,104°22.0′","28°48.5′,104°27.7′","28°51.6′,104°31.3′","28°52.0′,104°32.5′","28°50.1′,104°37.1′"
宜昌/三峡,"30°28.3′,111°38.4′","30°25.6′,111°35.1′","30°29.5′,111°31.4′","30°30.0′,111°26.3′","30°31.0′,111°25.1′","30°35.4′,111°24.1′","30°38.3′,111°19.2′","30°41.2′,111°22.3′","30°37.3′,111°26.0′","30°36.6′,111°31.3′","30°35.6′,111°32.3′","30°31.2′,111°33.3′"
宜春/明月山,"27°55.2′,114°25.5′","27°52.0′,114°28.3′","27°49.6′,114°23.0′","27°45.5′,114°21.6′","27°44.5′,114°20.2′","27°44.6′,114°15.2′","27°40.8′,114°11.1′","27°44.0′,114°08.3′","27°46.4′,114°13.6′","27°50.8′,114°15.0′","27°51.7′,114°16.5′","27°51.6′,114°21.4′"
富蕴/可可托海,"46°45.2′,089°44.0′","46°41.9′,089°41.1′","46°45.0′,089°35.4′","46°44.5′,089°28.9′","46°45.4′,089°27.0′","46°49.3′,089°24.3′","46°51.2′,089°17.3′","46°54.6′,089°20.2′","46°51.4′,089°26.2′","46°52.0′,089°32.7′","46°51.1′,089°34.5′","46°47.2′,089°37.0′"
巴彦淖尔/天吉泰,"40°54.1′,107°56.8′","40°50.4′,107°55.0′","40°53.1′,107°49.1′","40°51.7′,107°43.4′","40°52.2′,107°41.8′","40°56.1′,107°38.5′","40°57.1′,107°31.7′","41°00.6′,107°33.5′","40°58.3′,107°39.6′","40°59.5′,107°45.3′","40°59.0′,107°47.1′","40°55.3′,107°50.2′"
布尔津/喀纳斯,"48°09.2′,087°12.7′","48°06.2′,087°09.1′","48°09.7′,087°03.9′","48°09.8′,086°57.0′","48°10.8′,086°55.4′","48°15.1′,086°53.6′","48°17.5′,086°46.8′","48°20.5′,086°50.2′","48°17.0′,086°55.6′","48°16.7′,087°02.3′","48°16.1′,087°04.1′","48°11.8′,087°06.1′"
常州/奔牛,"31°53.7′,119°58.0′","31°50.0′,119°56.4′","31°52.6′,119°51.1′","31°51.4′,119°46.1′","31°52.1′,119°44.1′","31°55.6′,119°41.1′","31°56.6′,119°35.0′","32°00.3′,119°36.6′","31°58.0′,119°42.1′","31°59.2′,119°47.1′","31°58.6′,119°49.0′","31°54.9′,119°52.1′"
常德/桃花源,"29°04.7′,111°38.7′","29°03.8′,111°43.1′","28°59.1′,111°40.8′","28°55.1′,111°42.9′","28°53.5′,111°42.5′","28°50.6′,111°38.5′","28°45.6′,111°38.2′","28°46.5′,111°33.7′","28°51.0′,111°35.8′","28°55.4′,111°34.1′","28°56.6′,111°34.4′","28°59.8′,111°38.1′"
广元/盘龙,"32°27.0′,105°52.2′","32°23.3′,105°53.1′","32°23.1′,105°47.0′","32°19.7′,105°43.4′","32°19.6′,105°41.8′","32°21.5′,105°37.1′","32°19.8′,105°31.3′","32°23.5′,105°30.3′","32°23.7′,105°36.5′","32°27.0′,105°40.0′","32°27.2′,105°41.7′","32°25.5′,105°46.5′"
广州/白云,"23°33.2′,113°19.2′","23°32.1′,113°23.3′","23°27.5′,113°21.3′","23°23.2′,113°23.1′","23°21.3′,113°22.4′","23°18.3′,113°18.7′","23°13.3′,113°18.3′","23°14.1′,113°14.0′","23°19.0′,113°16.2′","23°23.0′,113°14.5′","23°25.0′,113°15.1′","23°28.1′,113°18.6′"
庆阳/西峰,"35°42.2′,107°45.4′","35°39.6′,107°41.6′","35°44.0′,107°38.4′","35°45.2′,107°33.1′","35°46.2′,107°31.7′","35°50.8′,107°31.4′","35°54.0′,107°26.6′","35°56.6′,107°30.3′","35°52.4′,107°33.5′","35°51.3′,107°39.0′","35°50.0′,107°40.0′","35°45.7′,107°40.5′"
库车/龟兹,"41°43.8′,083°04.5′","41°39.9′,083°05.1′","41°40.1′,082°58.4′","41°37.1′,082°54.0′","41°36.9′,082°52.1′","41°39.1′,082°46.9′","41°37.5′,082°40.1′","41°41.6′,082°39.5′","41°41.3′,082°46.5′","41°44.3′,082°50.9′","41°44.6′,082°52.6′","41°42.3′,082°58.0′"
康定,"30°01.1′,101°52.1′","29°59.2′,101°48.2′","30°04.0′,101°45.8′","30°05.6′,101°41.1′","30°07.5′,101°40.0′","30°12.1′,101°40.3′","30°16.1′,101°36.5′","30°18.1′,101°40.6′","30°13.2′,101°42.7′","30°11.4′,101°47.4′","30°09.7′,101°48.8′","30°05.1′,101°48.2′"
延吉/朝阳川,"42°56.2′,129°39.3′","42°52.3′,129°40.2′","42°52.5′,129°33.2′","42°49.4′,129°28.7′","42°49.0′,129°26.8′","42°51.1′,129°21.6′","42°49.6′,129°14.7′","42°53.5′,129°14.1′","42°53.6′,129°21.1′","42°56.6′,129°25.3′","42°56.8′,129°27.2′","42°54.7′,129°32.6′"
张家界/荷花,"29°10.5′,110°36.5′","29°06.7′,110°37.6′","29°06.2′,110°31.7′","29°02.6′,110°28.4′","29°02.3′,110°26.5′","29°03.8′,110°21.9′","29°02.0′,110°16.5′","29°05.6′,110°15.2′","29°06.3′,110°21.1′","29°09.7′,110°24.5′","29°10.0′,110°26.4′","29°08.3′,110°31.0′"
张掖/甘州,"38°46.5′,100°51.8′","38°43.1′,100°50.0′","38°45.7′,100°44.2′","38°44.6′,100°38.6′","38°45.2′,100°36.9′","38°49.0′,100°33.9′","38°50.3′,100°27.5′","38°54.1′,100°29.5′","38°51.4′,100°35.1′","38°52.4′,100°40.7′","38°51.6′,100°42.6′","38°47.8′,100°45.6′"
徐州/观音,"34°06.2′,117°44.7′","34°02.3′,117°45.2′","34°02.8′,117°39.1′","33°59.9′,117°34.8′","33°59.6′,117°32.5′","34°02.1′,117°28.1′","34°00.9′,117°22.1′","34°04.7′,117°21.6′","34°04.3′,117°27.7′","34°07.4′,117°31.8′","34°07.4′,117°34.1′","34°05.2′,117°38.7′"
